gene_symbol,category,subcategory,region_relevance,priority_hint,rationale
Snap25,class_backbone,pan_neuronal,both,2,Pan-neuronal SNARE. Confirms a segmented object is a neuron before any subclass call.
Syt1,class_backbone,pan_neuronal,both,3,Pan-neuronal synaptotagmin. Backup to Snap25.
Rbfox3,class_backbone,pan_neuronal,both,2,NeuN. Standard neuron call in histology so it links Xenium to IHC.
Slc17a7,class_backbone,glutamatergic,both,1,VGLUT1. Cortical/pallial excitatory backbone; required for ORBm IT/ET/CT and the 012 MEA Slc17a7 Glut population.
Slc17a6,class_backbone,glutamatergic,both,1,VGLUT2. Subcortical/MEA excitatory backbone; separates BMAp VGLUT2 populations from VGLUT1.
Slc17a8,class_backbone,glutamatergic,both,3,VGLUT3. Small but distinct population; avoids miscalling sparse VGLUT3 cells.
Slc1a2,class_backbone,glutamate_clearance,both,3,GLT-1 astrocyte. Helps exclude astrocytic transcript bleed from neuronal calls.
Gad1,class_backbone,gabaergic,both,1,GAD67. Inhibitory backbone.
Gad2,class_backbone,gabaergic,both,1,GAD65. Inhibitory backbone; the pair is more robust than either alone.
Slc32a1,class_backbone,gabaergic,both,1,VGAT. Definitive GABAergic call independent of GAD level.
Slc6a1,class_backbone,gabaergic,both,3,GAT1. Secondary inhibitory marker.
Th,class_backbone,dopaminergic,both,2,Tyrosine hydroxylase. Catecholaminergic; also labels a cortical interneuron population.
Slc6a3,class_backbone,dopaminergic,both,3,DAT. Definitive dopaminergic; expected near-absent in ORBm/BMAp so it acts as a negative control.
Slc18a2,class_backbone,monoaminergic,both,3,VMAT2. Any monoamine cell.
Ddc,class_backbone,monoaminergic,both,3,AADC. Shared catecholamine/serotonin synthesis step.
Dbh,class_backbone,noradrenergic,both,3,Noradrenergic. Expected absent; negative control for fibre contamination.
Chat,class_backbone,cholinergic,both,2,Cholinergic. Basal forebrain cholinergic neighbours BMAp.
Slc5a7,class_backbone,cholinergic,both,3,High-affinity choline transporter. Confirms Chat.
Slc18a3,class_backbone,cholinergic,both,3,VAChT.
Tph2,class_backbone,serotonergic,both,3,Serotonergic. Expected absent; negative control.
Slc6a5,class_backbone,glycinergic,both,3,GlyT2. Expected absent in forebrain; negative control.
Hdc,class_backbone,histaminergic,both,3,Histaminergic. TMN neighbours hypothalamic border.
Aqp4,class_backbone,astrocyte,both,2,Astrocyte. Non-neuronal gate for segmentation QC.
Gja1,class_backbone,astrocyte,both,3,Connexin43 astrocyte.
Mbp,class_backbone,oligodendrocyte,both,2,Myelin. Oligodendrocyte gate; high expressor so request reduced probe sets.
Sox10,class_backbone,oligodendrocyte,both,3,Oligodendrocyte lineage TF.
Pdgfra,class_backbone,OPC,both,3,OPC.
Cx3cr1,class_backbone,microglia,both,2,Microglia.
P2ry12,class_backbone,microglia,both,3,Homeostatic microglia.
Cldn5,class_backbone,endothelial,both,2,Endothelial/vascular.
Flt1,class_backbone,endothelial,both,3,Endothelial.
Fos,IEG_rapid,activity,both,1,TRAP2 driver locus. Reports endogenous transcript and confirms tagged cells were Fos+ at 4-OHT.
Fosb,IEG_rapid,activity,both,1,FosB/deltaFosB. The canonical chronic-drug accumulating IEG; central to addiction plasticity.
Junb,IEG_rapid,activity,both,2,AP-1 partner of Fos. Rises with Fos and stabilises the activity call.
Jun,IEG_rapid,activity,both,3,c-Jun AP-1.
Egr1,IEG_rapid,activity,both,1,Zif268. Second independent activity axis; different induction kinetics from Fos.
Egr2,IEG_rapid,activity,both,3,Krox20.
Egr3,IEG_rapid,activity,both,3,"Activity-dependent, NMDA-linked."
Egr4,IEG_rapid,activity,both,3,Neuron-enriched EGR family.
Arc,IEG_rapid,activity,both,1,Arg3.1. Synaptic-activity IEG; nuclear vs cytoplasmic signal can time two epochs.
Npas4,IEG_rapid,activity,both,1,The only strictly neuron-specific activity IEG. Cleanest control that Fos is activity-driven not stress/growth-factor driven.
Nr4a1,IEG_rapid,activity,both,2,Nur77.
Nr4a2,IEG_rapid,activity,both,2,Nurr1. Also a dopaminergic/claustral identity TF.
Nr4a3,IEG_rapid,activity,both,3,Nor1.
Dusp1,IEG_rapid,activity,both,3,MKP-1 rapid IEG.
Ier2,IEG_rapid,activity,both,3,Immediate early response 2.
Btg2,IEG_rapid,activity,both,3,PC3/Tis21.
Atf3,IEG_rapid,stress,both,3,Stress/injury IEG; flags surgery or cannula damage.
Per1,IEG_rapid,circadian,both,3,Circadian + activity. Controls for time-of-day differences between tagging sessions.
Sgk1,IEG_rapid,glucocorticoid,both,3,Glucocorticoid-responsive; separates stress-driven from activity-driven labelling.
Bdnf,IEG_delayed,plasticity,both,1,Delayed-response gene and the main plasticity growth factor. Opioid-regulated.
Homer1,IEG_delayed,plasticity,both,1,Homer1a is the activity-induced short form; scaffold for mGluR signalling.
Nptx2,IEG_delayed,plasticity,both,2,Narp. Activity-dependent AMPA clustering at PV synapses.
Scg2,IEG_delayed,neuropeptide,both,3,"Secretogranin II, activity-regulated."
Vgf,IEG_delayed,neuropeptide,both,3,Activity- and BDNF-induced.
Rgs2,IEG_delayed,signalling,both,3,Activity-regulated GPCR signalling brake.
Sik1,IEG_delayed,signalling,both,3,"Salt-inducible kinase, activity-regulated."
Crem,IEG_delayed,transcription,both,3,CREB family; ICER isoform is activity-induced.
Camk2a,plasticity,postsynaptic,both,1,Excitatory postsynaptic kinase; also a broad excitatory-neuron marker in cortex.
Camk2b,plasticity,postsynaptic,both,3,CaMKII beta subunit.
Dlg4,plasticity,postsynaptic_scaffold,both,2,PSD-95. Core excitatory postsynaptic density.
Shank3,plasticity,postsynaptic_scaffold,both,3,PSD scaffold.
Syngap1,plasticity,postsynaptic_signalling,both,3,Ras-GAP at the PSD; sets plasticity threshold.
Grin1,plasticity,NMDA_receptor,both,1,Obligatory NMDAR subunit. Plasticity capacity.
Grin2a,plasticity,NMDA_receptor,both,2,NR2A. Mature synapse.
Grin2b,plasticity,NMDA_receptor,both,2,NR2B. Immature/plastic synapse; NR2B/NR2A ratio is a plasticity readout after opioids.
Gria1,plasticity,AMPA_receptor,both,1,GluA1. Trafficking of GluA1 is the canonical substrate of drug-induced plasticity.
Gria2,plasticity,AMPA_receptor,both,1,GluA2. Ca-permeable AMPAR switch during incubation of craving.
Gria3,plasticity,AMPA_receptor,both,3,GluA3.
Nrgn,plasticity,calmodulin,both,3,"Neurogranin. Calmodulin buffer, LTP-linked."
Ppp3ca,plasticity,phosphatase,both,3,Calcineurin A alpha. LTD arm.
Ppp1r1b,plasticity,signal_integration,both,1,DARPP-32. Dopamine/GPCR signal integration; also the striatal-like sAMY marker for BMAp neighbours.
Prkca,plasticity,kinase,both,3,PKC alpha.
Cdk5,plasticity,kinase,both,3,Cdk5. Chronic opioid and cocaine plasticity.
Rgs4,plasticity,GPCR_signalling,both,2,Regulator of G-protein signalling 4; opioid-regulated and interneuron-enriched.
Rgs9,plasticity,GPCR_signalling,both,3,Rgs9-2 modulates opioid reward and tolerance.
Ntrk2,plasticity,growth_factor_receptor,both,2,TrkB. BDNF receptor; required for BDNF plasticity readout to be interpretable.
Syn1,plasticity,presynaptic,both,3,Synapsin I.
Syp,plasticity,presynaptic,both,3,Synaptophysin.
Sv2a,plasticity,presynaptic,both,3,SV2A.
Cplx1,plasticity,presynaptic,both,3,Complexin 1.
Nrxn1,plasticity,adhesion,both,3,Neurexin 1 presynaptic adhesion.
Nrxn3,plasticity,adhesion,both,3,Neurexin 3; addiction GWAS locus.
Nlgn1,plasticity,adhesion,both,3,Neuroligin 1 excitatory.
Nlgn2,plasticity,adhesion,both,3,Neuroligin 2 inhibitory.
Cbln1,plasticity,adhesion,both,3,Cerebellin 1 synapse organiser.
Cbln2,plasticity,adhesion,both,2,Cerebellin 2; cortical layer and amygdala patterned.
Lrrtm2,plasticity,adhesion,both,3,Excitatory synapse organiser.
Plk2,plasticity,homeostatic,both,3,SNK. Homeostatic scaling.
