gene_symbol,category,probe_type,priority,detects,rationale,source
Fos,IEG_immediate,endogenous_mouse,1,Activity / TRAP driver locus readout,"TRAP2 driver is Fos2A-iCreER (JAX 030323), so the Fos locus IS the driver. A Fos probe reports the endogenous transcript and confirms that the cells you tagged were Fos+ at the time of 4-OHT. Peak mRNA 30-60 min after stimulus.","Guenthner 2013 Neuron (TRAP); Allen 2017 Science (TRAP2); DeNardo 2019 Nat Neurosci"
Npas4,IEG_immediate,endogenous_mouse,1,Neuron-selective activity,"Only IEG that is strictly neuron-specific and induced by neuronal activity rather than by growth factors or stress, so it is the cleanest control that your Fos signal is activity-driven and not artifactual.",Lin 2008 Nature; Ramamoorthi 2011 Science
Arc,IEG_immediate,endogenous_mouse,1,Activity / synaptic plasticity,"Dendritically-localised IEG, standard second activity marker alongside Fos. Fos+/Arc+ double-positive cells are the high-confidence activated set.",Guzowski 1999 Nat Neurosci
Junb,IEG_immediate,endogenous_mouse,2,Activity (AP-1 partner),Heterodimerises with Fos to form AP-1. Confirms a functional AP-1 response rather than Fos mRNA alone.,Sheng & Greenberg 1990 Neuron
Fosb,IEG_immediate,endogenous_mouse,2,Activity (acute + chronic),"Acute FosB plus the stable DeltaFosB isoform. Useful if any part of the paradigm is repeated or chronic (e.g. repeated drug or behaviour sessions).",Nestler 2001 PNAS
Egr1,IEG_immediate,endogenous_mouse,2,Activity (zif268),Widely used alternative activity marker with slightly different induction kinetics from Fos; helps time-resolve the activation window.,Cole 1989 Nature
Nr4a1,IEG_immediate,endogenous_mouse,2,Activity (Nur77),Calcium/cAMP-responsive IEG. Adds dynamic range when Fos saturates.,Hawk & Abel 2011 Learn Mem
Egr2,IEG_immediate,endogenous_mouse,3,Activity (Krox20),Optional extra AP-1-independent activity readout.,Williams 2000 Learn Mem
Jun,IEG_immediate,endogenous_mouse,3,Activity (AP-1 partner),Optional AP-1 partner; less dynamic than Junb.,Herdegen & Leah 1998 Brain Res Rev
Bdnf,IEG_delayed,endogenous_mouse,2,Delayed activity / plasticity,"Late-response gene (peaks 2-6 h). Distinguishes cells that were transiently active from cells that engaged plasticity programmes - relevant because 4-OHT TRAP labelling integrates over hours.",Tao 1998 Neuron
Homer1,IEG_delayed,endogenous_mouse,3,Delayed activity (Homer1a),Activity-induced short isoform Homer1a; optional plasticity readout.,Brakeman 1997 Nature
Scg2,IEG_delayed,endogenous_mouse,3,Delayed activity / neuropeptide,Activity-regulated secretogranin; optional.,Su 2017 Nat Neurosci
tdTomato,reporter_transgene,CUSTOM_probe_required,1,TRAP reporter (Ai14 / Ai9),"The permanent TRAP tag. Ai14 (JAX 007914) / Ai9 (JAX 007909) express CAG-LSL-tdTomato after Cre recombination. NOT a mouse gene - Xenium/other panels need a CUSTOM probe against the tdTomato ORF. This is the probe that tells you which cell was TRAPped.",Madisen 2010 Nat Neurosci
iCre,reporter_transgene,CUSTOM_probe_required,1,TRAP driver transgene,"Probe against the codon-improved Cre (iCreER) sequence in Fos2A-iCreER. Confirms the driver is expressed in the cell and separates driver-expressing from reporter-expressing cells (recombination failures). CUSTOM probe required.",Allen 2017 Science
EGFP,reporter_transgene,CUSTOM_probe_required,2,Alternative reporter / Fos-GFP,"Only needed if you use a GFP-based reporter (Ai48/Ai82) or Fos-shEGFP mice instead of tdTomato. CUSTOM probe required.",Barth 2004 J Neurosci
WPRE,reporter_transgene,CUSTOM_probe_required,3,Generic transgene cassette,"Woodchuck response element is present in many reporter/AAV cassettes. A single WPRE probe catches several constructs at once, useful if you also inject AAVs. CUSTOM probe required.",common cassette element
Slc17a7,class_backbone,endogenous_mouse,1,Glutamatergic (VGLUT1),"Cortical/pallial excitatory backbone. Required in ORBm (all IT/ET/CT/NP) and to identify the 012 MEA Slc17a7 Glut population in BMAp.",Allen WMB-10X
Slc17a6,class_backbone,endogenous_mouse,1,Glutamatergic (VGLUT2),"Subcortical excitatory backbone. Required for the BMAp VGLUT2-like populations (113 / 119 / 120 / 121) and for ORBm 032 L5 NP.",Allen WMB-10X
Gad1,class_backbone,endogenous_mouse,1,GABAergic,Inhibitory backbone; needed to gate the BMAp sAMY-like neighbour controls and the ORBm interneurons.,Allen WMB-10X
Gad2,class_backbone,endogenous_mouse,1,GABAergic,Second inhibitory backbone marker; Gad1+Gad2 together are more robust than either alone.,Allen WMB-10X
Slc32a1,class_backbone,endogenous_mouse,2,GABAergic (VGAT),Confirms vesicular GABA release; use with Gad1/Gad2.,Allen WMB-10X
Snap25,class_backbone,endogenous_mouse,3,Pan-neuronal,"Optional pan-neuronal denominator for normalising activity fractions (what proportion of neurons were TRAPped).",Allen WMB-10X
